thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
20.005,19.99,0.035700001,2922.77,734.96,1920.87,971.56,43.15669125,51.2000008,1100.07,73.66668701,41.50012207,51.745899200000004,3.0,1.31390917,23.809,-48.1329994,131015.0,-147.7030029,3188.350098
10.995999999999999,10.0,-0.017100001,1415.44,374.65,78.42,88.95,39.30012723,33.0,362.05,103.666687,-3.5,106.83799740000002,4.0,1.46355307,-9999.0,-26.4018993,68081.79688,176.99099730000003,41.922901200000005
15.497,16.0,0.020199999,1819.62,2195.85,2088.13,1923.79,20.35927307,45.529998799999994,1097.5,25.66668701,58.50012207,44.281799299999996,1.0,2.97043991,115.9430008,-43.910598799999995,135725.0,116.85199740000002,61.4399986
16.998,17.0,0.0177,2453.31,3060.36,3360.87,2457.37,48.1300322,41.0999985,2347.56,63.66668701,62.50012207,67.2020035,2.0,2.10987806,-235.2660065,-39.7184982,210321.0,73.0552979,107.5530014
14.999,15.0,-0.016899999,3135.03,3093.32,3207.57,2473.98,26.61766331,38.6699982,1455.19,-80.33331299,48.50012207,38.72349929999999,2.0,2.11799812,-37.1174011,-39.251701399999995,239463.0,75.6752014,305.3169861
17.500999999999998,17.0,0.0035,1512.82,2132.43,2933.76,948.05,59.502100799999994,48.0,743.88,86.66668701,51.50012207,53.417598700000006,3.0,1.28639257,-34.6772995,-37.7416992,79493.79688,-49.9920006,1486.380005
15.002,15.0,-0.036600001,2250.12,4512.83,4472.75,2677.93,3.5355339060000004,42.0,1030.31,18.66668701,-29.5,65.4496994,3.0,2.03860378,-59.653801,-32.749298100000004,128513.0,82.1761017,924.1320189999999
20.003,20.0,0.052999999000000006,2001.26,1797.83,1893.33,2270.56,21.50581317,50.0,676.76,-80.33331299,36.50012207,41.3935013,3.0,1.71081436,60.56750110000001,-45.2761002,154909.0,49.3930016,315.05999760000003
18.000999999999998,16.0,-0.0019,1529.19,1101.23,905.12,540.5,4.301162634,39.25999829999999,151.62,10.66668701,47.50012207,76.5236969,6.0,1.19803369,-10.2018003,-48.2383995,62018.10156,-12.479499800000001,1533.949951
10.995999999999999,10.0,-0.0079,2368.48,335.64,734.47,82.81,41.81506905,32.0,50.4,111.66668700000001,-7.5,77.2546005,6.0,1.47513998,263.7099915,-28.620000800000003,65962.89844,127.3000031,185.2929993
10.999,12.0,0.0065,1834.83,695.6,1513.09,939.73,26.76751763,30.6900005,1141.17,128.66668700000002,-15.5,58.916698499999995,2.0,2.36294556,3.59689,-34.9188995,215636.0,151.7460022,34.6399994
9.996,10.0,-0.0066,1876.99,1321.02,1143.55,791.44,5.522680509,30.129999199999997,20.43,12.66668701,50.50012207,68.0575027,6.0,1.3710016,-17.8008003,-38.2154999,54914.30078,69.45770259999999,598.3200072999999
19.999000000000002,20.0,-0.0317,1573.72,1605.03,1558.03,633.8,6.519202405,46.0,560.87,-105.33331299999999,44.50012207,59.801998100000006,4.0,1.72764778,128.26300049999998,-34.5786018,85420.70313,5.64644,1298.439941
